#n,New period,linear_trend,multiplicative trend,White noise,AR,MA,Changing growth,Weekly freq,Monthly freq,Varying freq
73,0,8.041402026,-0.060904877,-0.058172884,-0.079925652,0.176293632,4.47E-06,-0.586824805,0.933213288,-0.019416551
74,0,8.30224315,-0.057738774,0.059076147,0.088753255,0.235085826,-1.09E-05,0.001186667,0.890541576,0.317007162
75,0,8.563084273,-0.05473726,-0.019601055,0.057945445,0.209533282,2.70E-05,0.588744872,0.838112903,0.53893437
76,0,8.823925397,-0.051891777,-0.385628735,-0.333291414,0.141682486,-6.88E-05,0.951422547,0.776501691,0.613206055
77,0,9.084766521,-0.049194215,0.010679771,-0.018030794,-0.010890784,0.000179411,0.950689147,0.706382963,0.799948904
78,0,9.345607644,-0.046636884,-0.416808659,-0.456743133,-0.096166479,-0.000478593,0.586824805,0.628524956,0.848973024
79,0,9.606448768,-0.044212494,0.306548536,0.159982739,-0.122980597,0.001305325,-0.001186667,0.543780698,0.926061248
80,0,9.867289892,-0.041914135,0.216424072,0.129704753,-0.158295127,-0.003638284,-0.588744872,0.453078665,0.997378331
81,0,10.12813102,-0.039735254,0.30577201,0.219901228,-0.037903514,0.010358578,-0.951422547,0.357412607,0.999999597
82,0,10.38897214,-0.037669641,0.06918573,0.100968867,0.056208952,-0.030111827,-0.950689147,0.257830661,0.974473594
83,0,10.64981326,-0.035711408,-0.196513074,-0.138824492,0.127764779,0.089335368,-0.586824805,0.155423869,0.637720905
84,0,10.91065439,-0.033854973,0.275590784,0.34753584,0.156087577,-0.270384887,0.001186667,0.051314221,0.553139924
85,0,11.17149551,-0.032095043,-0.047987948,0.063972558,0.115599377,0.834534398,0.588744872,-0.053357637,-0.072276568
86,0,11.43233663,-0.030426602,0.115709087,0.190728101,0.098065055,-2.625703221,0.951422547,-0.157444897,-0.253367841
87,0,11.69317776,-0.028844894,0.046999155,0.160710928,0.020869701,8.418398287,0.950689147,-0.259807158,-0.388726856
88,0,11.95401888,-0.027345409,0.246625399,0.356755734,0.058565315,-27.49441108,0.586824805,-0.359322917,-0.626296614
89,0,12.21486,-0.025923875,0.33267641,0.514490636,0.106556863,91.44178043,-0.001186667,-0.45490186,-0.700214198
90,1,1,-2,0.39936599,0.655398149,0.122961663,19,0.631822911,0.741995112,-0.956729863
91,0,1.306611578,-1.94643727,-0.186082988,0.201163473,0.224193942,37.10282967,0.055555616,0.80800682,-0.845945036
92,0,1.613223157,-1.894309023,-0.057376622,0.308486539,0.101424134,70.7017059,-0.541932036,0.865165836,-0.805017533
93,0,1.919834735,-1.843576842,-0.351336068,0.050638554,0.149441804,131.3879161,-0.932420069,0.912845915,-0.705972541
94,0,2.226446314,-1.794203338,0.422015736,0.713054303,-0.007958409,237.9595503,-0.966755329,0.950524662,-0.6521522
95,0,2.533057892,-1.746152124,0.286403321,0.685478786,0.141566224,419.7374566,-0.631822911,0.977789262,-0.582512791
96,0,2.839669471,-1.699387787,-0.371150117,-0.001960261,-0.009121551,720.5561794,-0.055555616,0.994340998,-0.454762653
97,0,3.146281049,-1.653875862,0.176172562,0.545008811,-0.033759583,1202.942288,0.541932036,0.999998527,-0.329178159
98,0,3.452892628,-1.609582809,-0.203181197,0.189425302,0.028350592,1951.465997,0.932420069,0.994699862,-0.017734079
99,0,3.759504206,-1.566475985,0.40231958,0.755602709,0.025216946,3073.606917,0.966755329,0.978503057,0.073050682
100,0,4.066115785,-1.52452362,-0.101078774,0.375551069,0.151093227,4695.872299,0.631822911,0.951585568,0.224402135
101,0,4.372727363,-1.483694796,0.375231895,0.70552984,-0.101186913,6952.64091,0.055555616,0.914242309,0.29803706
102,0,4.679338941,-1.443959425,0.114481989,0.662150737,0.193249935,9965.679858,-0.541932036,0.866882419,0.371427443
103,0,4.98595052,-1.40528822,-0.175884106,0.31965098,0.041596811,13813.89345,-0.932420069,0.810024785,0.487244801
104,0,5.292562098,-1.367652684,0.090368868,0.648961895,0.133640247,18495.79669,-0.966755329,0.744292349,0.795186434
105,0,5.599173677,-1.331025078,0.334878362,0.8628352,0.047077377,23891.16185,-0.631822911,0.67040529,0.864739638
106,0,5.905785255,-1.29537841,-0.128915527,0.475386536,0.166853174,29732.26775,-0.055555616,0.589173131,0.93776628
107,0,6.212396834,-1.260686408,-0.174111788,0.416692599,0.027933714,35597.51225,0.541932036,0.501485868,0.966052996
108,0,6.519008412,-1.226923505,0.210060414,0.747057393,-0.022183551,40938.88926,0.932420069,0.408304221,0.991017645
109,0,6.825619991,-1.194064819,0.008404184,0.597776843,0.070896641,45148.62192,0.966755329,0.310649107,0.999555917
110,0,7.132231569,-1.162086133,0.010811324,0.605296723,0.056268376,47659.34509,0.631822911,0.209590456,0.839610505
111,0,7.438843147,-1.130963881,0.273731083,0.848422945,-0.004355971,48059.24003,0.055555616,0.106235489,0.697566601
112,0,7.745454726,-1.100675124,0.265481385,0.885399761,0.054649098,46193.15752,-0.541932036,0.001716583,0.391916586
113,0,8.052066304,-1.071197542,0.034299094,0.753101777,0.153027477,42218.31537,-0.932420069,-0.10282113,0.319975259
114,0,8.358677883,-1.04250941,-0.088571176,0.641732424,0.096631769,36591.97423,-0.966755329,-0.206232313,0.149351993
115,0,8.665289461,-1.014589585,0.106055769,0.826508663,0.069794675,29987.58869,-0.631822911,-0.307383972,-0.014876668
116,0,8.97190104,-0.987417491,-0.19200728,0.567341608,0.124671566,23159.212,-0.055555616,-0.405167867,-0.125754761
117,0,9.278512618,-0.960973103,-0.320383751,0.375441477,0.012414204,16792.13665,0.541932036,-0.498512659,-0.250388837
118,0,9.585124197,-0.935236932,-0.244769846,0.371188794,-0.082461908,11382.62132,0.932420069,-0.586395641,-0.391571189
119,0,9.891735775,-0.91019001,-0.151231283,0.363153903,-0.146896822,7178.276741,0.966755329,-0.667853951,-0.466338567
120,0,10.19834735,-0.885813879,-0.227987001,0.239615651,-0.126781844,4187.916305,0.631822911,-0.741995112,-0.536591037
121,0,10.50495893,-0.862090575,-0.165848938,0.19969319,-0.210766853,2245.54307,0.055555616,-0.80800682,-0.610565271
122,0,10.81157051,-0.839002612,0.002468851,0.298068025,-0.206276331,1098.017329,-0.541932036,-0.865165836,-0.854620224
123,0,11.11818209,-0.816532977,0.068044945,0.345482233,-0.142494755,485.0566254,-0.932420069,-0.912845915,-0.889611572
124,0,11.42479367,-0.79466511,-0.424350101,-0.144758342,-0.080527033,191.3729374,-0.966755329,-0.950524662,-0.9497462
125,0,11.73140525,-0.773382893,0.419928714,0.593189285,-0.179469405,66.46723177,-0.631822911,-0.977789262,-0.979772275
126,0,12.03801682,-0.752670644,0.182668861,0.453983232,0.039706201,19.94670532,-0.055555616,-0.994340998,-0.892022957
127,0,12.3446284,-0.732513097,-0.217541677,0.049888255,0.009731793,5.044099706,0.541932036,-0.999998527,-0.845620886
128,0,12.65123998,-0.712895396,-0.476033499,-0.18255973,0.018563342,1.037366264,0.932420069,-0.994699862,-0.739979494
129,0,12.95785156,-0.693803084,0.021830613,0.146743954,-0.166835211,0.164360164,0.966755329,-0.978503057,-0.644821939
130,0,13.26446314,-0.675222091,0.396702405,0.575825414,0.037760391,0.018280198,0.631822911,-0.951585568,-0.550924315
131,0,13.57107472,-0.657138722,-0.214995188,-0.012629427,0.027161753,0.001169949,0.055555616,-0.914242309,-0.345904108
132,0,13.87768629,-0.63953965,0.218406986,0.343442415,-0.119952993,1.96E-05,-0.541932036,-0.866882419,-0.274624416
133,0,14.18429787,-0.622411905,-0.195612128,0.011320486,0.001659806,-5.98E-07,-0.932420069,-0.810024785,-0.2025378
134,0,14.49090945,-0.605742865,0.322442335,0.476497653,-0.023519663,4.64E-08,-0.966755329,-0.744292349,0.291845888
135,0,14.79752103,-0.589520244,0.401943201,0.709336811,0.185211268,-5.80E-09,-0.631822911,-0.67040529,0.742177487
136,0,15.10413261,-0.573732087,0.085641408,0.371801592,0.06771171,0.000000001,-0.055555616,-0.589173131,0.987127576
137,0,15.41074419,-0.558366759,-0.003110337,0.396436588,0.163283456,-2.19E-10,0.541932036,-0.501485868,0.998976776
138,0,15.71735577,-0.543412935,0.026487591,0.422565154,0.079767879,5.83E-11,0.932420069,-0.408304221,0.927677309
139,0,16.02396734,-0.528859595,0.49026106,0.924781758,0.151014909,-1.83E-11,0.966755329,-0.310649107,0.898602467
140,0,16.33057892,-0.514696013,0.065052174,0.630684229,0.240632201,6.60E-12,0.631822911,-0.209590456,0.859171405
141,0,16.6371905,-0.500911751,0.048149134,0.580638917,0.093409082,-2.70E-12,0.055555616,-0.106235489,0.674541189
142,0,16.94380208,-0.487496651,0.200296446,0.806670024,0.124211802,1.23E-12,-0.541932036,-0.001716583,0.498119017
143,0,17.25041366,-0.474440825,0.321911465,0.957989183,0.13321049,-6.17E-13,-0.932420069,0.10282113,-0.135565337
144,0,17.55702524,-0.461734652,-0.110387455,0.648828871,0.244798795,3.39E-13,-0.966755329,0.206232313,-0.214655625
145,0,17.86363681,-0.449368768,-0.415721086,0.296216012,0.067573561,-2.03E-13,-0.631822911,0.307383972,-0.329574512
146,0,18.17024839,-0.437334059,-0.239121208,0.393228651,-0.017558929,1.31E-13,-0.055555616,0.405167867,-0.530307569
147,0,18.47685997,-0.425621656,-0.124174156,0.448749717,-0.041081191,-9.02E-14,0.541932036,0.498512659,-0.855145557
148,0,18.78347155,-0.414222927,-0.024389288,0.480583053,-0.075768888,6.67E-14,0.932420069,0.586395641,-0.898235901
149,0,19.09008313,-0.403129472,0.061292659,0.509042263,-0.14399438,-5.24E-14,0.966755329,0.667853951,-0.927315847
150,0,19.39669471,-0.392333114,0.102415189,0.520761584,-0.1438152,4.37E-14,0.631822911,0.741995112,-0.956133374
151,0,19.70330629,-0.381825898,-0.065840118,0.393235951,-0.046142918,-3.84E-14,0.055555616,0.80800682,-0.899173395
152,0,20.00991786,-0.371600079,-0.37634786,0.077212951,-0.027851527,3.57E-14,-0.541932036,0.865165836,-0.841112766
153,0,20.31652944,-0.361648122,0.407588523,0.778794999,-0.082734504,-3.48E-14,-0.932420069,0.912845915,-0.800246621
154,0,20.62314102,-0.351962692,0.085431846,0.535030482,0.081545082,3.55E-14,-0.966755329,0.950524662,-0.675193722
155,0,20.9297526,-0.34253665,0.26699619,0.690745302,0.002960804,-3.80E-14,-0.631822911,0.977789262,-0.614062723
156,0,21.23636418,-0.333363051,0.397871077,0.934533608,0.104676216,4.24E-14,-0.055555616,0.994340998,-0.466657886
157,0,21.54297576,-0.324435134,0.282868306,0.860499421,0.101009725,-4.93E-14,0.541932036,0.999998527,0.130874248
158,0,21.84958733,-0.315746318,0.378984061,1.12814038,0.282126957,5.98E-14,0.932420069,0.994699862,0.326726126
159,0,22.15619891,-0.307290201,-0.253797102,0.577910311,0.262928172,-7.52E-14,0.966755329,0.978503057,0.428022429
160,0,22.46281049,-0.29906055,-0.10216097,0.689604206,0.143515156,9.81E-14,0.631822911,0.951585568,0.577058146
161,0,22.76942207,-0.2910513,0.257403181,1.084433399,0.158829363,-1.33E-13,0.055555616,0.914242309,0.644240567
162,0,23.07603365,-0.283256549,0.115845038,0.927605291,0.117631614,1.86E-13,-0.541932036,0.866882419,0.770059592
163,0,23.38264523,-0.275670552,-0.372660823,0.48929418,0.101109548,-2.69E-13,-0.932420069,0.810024785,0.824890133
164,0,23.68925681,-0.268287718,0.439764543,1.184036113,-0.106886783,4.02E-13,-0.966755329,0.744292349,0.869307673
165,0,23.99586838,-0.261102607,-0.3069309,0.544927032,0.105075007,-6.19E-13,-0.631822911,0.67040529,0.957063514
166,0,24.30247996,-0.254109923,0.186591643,0.958959512,-0.036094575,9.84E-13,-0.055555616,0.589173131,0.984121295
167,0,24.60909154,-0.247304512,-0.291766965,0.56137459,0.096535193,-1.61E-12,0.541932036,0.501485868,0.996920474
168,0,24.91570312,-0.24068136,0.348428702,1.015605611,-0.16511307,2.71E-12,0.932420069,0.408304221,0.998923107
169,0,25.2223147,-0.234235585,-0.138857216,0.727206517,0.175923421,-4.69E-12,0.966755329,0.310649107,0.951283521
170,0,25.52892628,-0.227962436,0.438356012,1.142332628,-0.117830226,8.33E-12,0.631822911,0.209590456,0.918802324
171,0,25.83553785,-0.221857291,0.342501695,1.240510531,0.187166045,-1.52E-11,0.055555616,0.106235489,0.869636289
172,0,26.14214943,-0.21591565,0.222045418,1.118061629,0.071368185,2.85E-11,-0.541932036,0.001716583,0.826504162
173,0,26.44876101,-0.210133134,-0.204394569,0.841161132,0.256238459,-5.46E-11,-0.932420069,-0.10282113,0.683945054
174,0,26.75537259,-0.204505482,-0.405530761,0.573437269,0.055915865,1.07E-10,-0.966755329,-0.206232313,0.547579228
175,0,27.06198417,-0.199028546,-0.303475182,0.624067137,0.068551613,-2.16E-10,-0.631822911,-0.307383972,0.476254006
176,0,27.36859575,-0.19369829,0.183038228,1.008066055,-0.052293255,4.46E-10,-0.055555616,-0.405167867,0.154895607
177,0,27.67520732,-0.188510785,0.023922542,0.821443782,-0.035556421,-9.40E-10,0.541932036,-0.498512659,0.041167553
178,0,27.9818189,-0.183462209,0.031623745,0.783904186,-0.136084162,0.000000002,0.932420069,-0.586395641,-0.231678269
179,0,28.28843048,-0.178548841,0.249609005,1.014371643,-0.087010919,-4.46E-09,0.966755329,-0.667853951,-0.313861678
180,1,18,-11,-0.375294225,0.403939328,0.026080867,20,-0.217711186,-0.113394057,-0.800404269
181,0,18.38310976,-10.05205453,0.092248145,0.821054221,-0.015973124,39.17257576,-0.749818236,-0.216627137,-0.914722009
182,0,18.76621953,-9.185800023,0.268521896,0.927419325,0.033463244,75.10391764,-0.995520206,-0.317486805,-0.998577611
183,0,19.14932929,-8.394196611,0.314832852,1.047970725,0.049631395,140.886415,-0.860967293,-0.414868021,-0.964301962
184,0,19.53243905,-7.670811096,-0.38151294,0.303152408,0.148586936,258.4582629,-0.397554138,-0.507703856,-0.86992449
185,0,19.91554882,-7.009764674,0.08985115,0.767091484,-0.086895072,463.4528678,0.217711186,-0.594977181,-0.737225271
186,0,20.29865858,-6.405685158,-0.000192456,0.675885343,0.089346858,811.8640944,0.749818236,-0.675731812,-0.650709678
187,0,20.68176834,-5.853663318,-0.440073229,0.258091537,0.040201266,1388.613578,0.995520206,-0.749082983,-0.577956248
188,0,21.0648781,-5.349212988,0.334539222,0.826298751,-0.072578573,2317.638141,0.860967293,-0.814227045,-0.210482706
189,0,21.44798787,-4.888234604,0.28892181,0.806358268,-0.04600764,3772.32479,0.397554138,-0.870450265,-0.133823249
190,0,21.83109763,-4.466981889,0.286699022,0.884849984,0.056994507,5983.993092,-0.217711186,-0.917136649,0.300207363
191,0,22.21420739,-4.082031412,-0.410399613,0.148825408,0.123322295,9244.770665,-0.749818236,-0.953774693,0.41643046
192,0,22.59731716,-3.730254758,-0.368108668,0.221494782,-0.079986301,13899.93292,-0.995520206,-0.979962981,0.486442871
193,0,22.98042692,-3.408793112,0.412519675,0.924305496,0.017807655,20324.12389,-0.860967293,-0.99541459,0.561083479
194,0,23.36353668,-3.115034022,0.096435465,0.630342243,0.087200001,28876.57683,-0.397554138,-0.999960228,0.626916186
195,0,23.74664645,-2.846590168,0.309047347,0.761494333,0.025703914,39833.26891,0.217711186,-0.993550093,0.695921092
196,0,24.12975621,-2.601279963,0.079440049,0.531131554,0.031942181,53299.32797,0.749818236,-0.976254415,0.745479747
197,0,24.51286597,-2.377109821,-0.350099511,0.263066578,0.042938454,69112.67334,0.995520206,-0.94826269,0.794967277
198,0,24.89597573,-2.172257958,-0.342672842,0.197998414,0.084453044,86758.3955,0.860967293,-0.9098816,0.861149273
199,0,25.2790855,-1.985059586,0.461411474,0.907881481,-0.060600115,105320.0914,0.397554138,-0.861531657,0.897123225
200,0,25.66219526,-1.813993382,-0.078994647,0.358878971,0.094420341,123495.7861,-0.217711186,-0.803742592,0.932626397
201,0,26.04530502,-1.657669126,0.174765575,0.577454228,-0.051164495,139698.9947,-0.749818236,-0.737147556,0.978072072
202,0,26.42841479,-1.514816404,-0.111658359,0.261137244,0.000307068,152248.6213,-0.995520206,-0.662476176,0.998348285
203,0,26.81152455,-1.384274282,-0.17750643,0.313031117,-0.046579011,159626.9126,-0.860967293,-0.58054657,0.987157828
204,0,27.19463431,-1.264981869,-0.214359513,0.169733132,0.070427436,160758.8127,-0.397554138,-0.492256373,0.960625132
205,0,27.57774408,-1.155969702,0.289306992,0.620647533,-0.098277255,155247.9521,0.217711186,-0.398572913,0.853933406
206,0,27.96085384,-1.056351862,-0.45313493,-0.149732329,0.043130627,143503.2096,0.749818236,-0.300522604,0.618791459
207,0,28.3439636,-0.965318774,0.103562253,0.357320812,-0.172145294,126710.0728,0.995520206,-0.199179707,0.53626331
208,0,28.72707336,-0.882130633,0.228427438,0.419026694,-0.043187222,106639.9654,0.860967293,-0.095654555,0.454233492
209,0,29.11018313,-0.806111384,-0.368099426,-0.062597311,-0.0273086,85337.01676,0.397554138,0.008918608,0.339635168
210,0,29.49329289,-0.736643235,-0.170522222,-0.012508956,-0.036251749,64759.159,-0.217711186,0.113394057,0.250972138
211,0,29.87640265,-0.673161633,0.010519618,0.142707266,-0.142768648,46464.20609,-0.749818236,0.216627137,0.039393872
212,0,30.25951242,-0.615150677,-0.398591414,-0.232725759,-0.036993868,31415.43543,-0.995520206,0.317486805,-0.049791677
213,0,30.64262218,-0.562138922,0.028343072,0.053236977,-0.128393353,19940.9477,-0.860967293,0.414868021,-0.171636828
214,0,31.02573194,-0.513695555,0.453991317,0.422570278,-0.148689889,11832.53541,-0.397554138,0.507703856,-0.26459829
215,0,31.40884171,-0.469426884,0.358660481,0.432028357,0.009776482,6531.649211,0.217711186,0.594977181,-0.669390142
216,0,31.79195147,-0.428973149,-0.089877401,0.015021024,0.112879296,3335.297615,0.749818236,0.675731812,-0.742547172
217,0,32.17506123,-0.392005589,0.094511182,0.239850294,0.018367611,1565.138948,0.995520206,0.749082983,-0.898243679
218,0,32.558171,-0.358223778,-0.40199433,-0.176591227,0.143884687,669.7134734,0.860967293,0.814227045,-0.999994864
219,0,32.94128076,-0.327353177,0.232178076,0.43054354,0.038301977,258.8594797,0.397554138,0.870450265,-0.992793226
220,0,33.32439052,-0.299142908,0.44806723,0.555746667,0.101507408,89.34574222,-0.217711186,0.917136649,-0.98023941
221,0,33.70750028,-0.273363711,-0.364880521,-0.154770969,0.062824607,27.14147685,-0.749818236,0.953774693,-0.955736799
